Country,Content Restricted,Preservation Requests,Preservation Accounts Preserved,Takedown reports,Percent Witheld,Internet Disruptions,Total Requests,Total Requests Accounts,Total Requests Percentage,Legal Process Request Total,Legal Process Request Total Accounts,Legal Process Request Total Percentage,Emergency Request Total,Emergency Request Total Accounts,Emergency Request Total Percentage,Emergency Disclosures,Emergency Disclosures Accounts,Emergency Disclosures Percentage,Search Warrant,Search Warrant Accounts,Search Warrant Percentage,Subpoena,Subpoena Accounts,Subpoena Percentage,Court Order (Other),Court Order (Other) Accounts,Court Order (Other) Percentage,MLAT Search Warrant,MLAT Search Warrant Accounts,MLAT Search Warrant Percentage,MLAT Order,MLAT Order Accounts,MLAT Order Percentage,Court Order (18 USC 2703(d)),Court Order (18 USC 2703(d)) Accounts,Court Order (18 USC 2703(d)) Percentage,Pen Register/Trap and Trace,Pen Register/Trap and Trace Accounts,Pen Register/Trap and Trace Percentage,Title III,Title III Accounts,Title III Percentage,FISA Content Requests,FISA Content Requests Accounts,FISA Content Requests Percentage,FISA Non-Content Requests,FISA Non-Content Requests Accounts,FISA Non-Content Requests Percentage,NSLs,NSLs Accounts,NSLs Percentage
Turkey,861,16,16,0,0,,993,"1,200",81%,984,"1,188",81%,9,12,89%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,0,1,1,0,0,,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,0,1,1,0,0,,1,1,0%,0,0,0%,1,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Bahamas,0,,,0,0,,1,1,0%,1,1,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,10,,,0,0,,1,3,0%,1,3,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,0,2,,0,0,,5,6,0%,5,6,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,0,3,3,0,0,,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,0,1,1,0,0,,1,1,0%,1,1,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,0,14,15,0,0,,14,15,64%,14,15,64%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,0,1,1,0,0,,24,32,67%,20,28,60%,4,4,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,0,7,12,0,0,,233,260,50%,233,260,50%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,0,1,1,0,0,,1,2,0%,1,2,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,130,1,2,0,0,,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,0,,,0,0,,1,1,0%,1,1,0%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,0,142,163,0,0,,785,848,49%,782,845,48%,3,3,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,0,8,11,0,0,,3,3,67%,2,2,50%,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,0,,,0,0,,4,6,75%,4,6,75%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,0,10,22,0,0,,24,83,75%,24,83,75%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,0,,,0,0,,13,14,62%,11,12,55%,2,2,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,0,34,48,0,0,,33,37,61%,31,34,58%,2,3,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,0,6,6,0,0,,6,11,50%,6,11,50%,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
