Country,Content Restrictions,Preservation Requests,Preservation Accounts Preserved,Takedown reports,Percent Witheld,Internet Disruptions,Total Requests,Total Requests Accounts,Total Requests Percentage,Legal Process Request Total,Legal Process Request Total Accounts,Legal Process Request Total Percentage,Emergency Request Total,Emergency Request Total Accounts,Emergency Request Total Percentage,Search Warrant,Search Warrant Accounts,Search Warrant Percentage,Subpoena,Subpoena Accounts,Subpoena Percentage,Court Order (Other),Court Order (Other) Accounts,Court Order (Other) Percentage,MLAT Search Warrant,MLAT Search Warrant Accounts,MLAT Search Warrant Percentage,MLAT Order,MLAT Order Accounts,MLAT Order Percentage,Court Order (18 USC 2703(d)),Court Order (18 USC 2703(d)) Accounts,Court Order (18 USC 2703(d)) Percentage,Pen Register/Trap and Trace,Pen Register/Trap and Trace Accounts,Pen Register/Trap and Trace Percentage,Title III,Title III Accounts,Title III Percentage,FISA Content Requests,FISA Content Requests Accounts,FISA Content Requests Percentage,FISA Non-Content Requests,FISA Non-Content Requests Accounts,FISA Non-Content Requests Percentage,NSLs,NSLs Accounts,NSLs Percentage
Afghanistan,0,0,0,0,0,0,2,2,0%,0,0,0%,2,2,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,2,1,1,0,0,0,6,7,83%,6,7,83%,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antarctica,0,1,1,0,0,0,0,0,0%,0,0,0%,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,5,1117,1688,0,0,0,1243,1877,73%,1173,1737,73%,70,140,69%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,0,15,17,0,0,0,12,20,67%,11,19,64%,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,18,338,447,0,0,0,1010,1215,74%,972,1154,74%,38,61,76%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,120,45,77,0,0,0,131,215,36%,122,204,31%,9,11,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,1,0,0,0,0,0,2,5,0%,2,5,0%,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,0,6,6,0,0,0,152,205,57%,18,27,28%,134,178,61%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,1,0,0,0,0,0,0,0,0%,0,0,0%,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
