Country,Preservation Requests,Preservation Accounts Preserved,Total Requests,Number of Requests Where Some Data Produced,Total Requests Accounts,Total Requests Percentage,Legal Process Request Total,Legal Number of Requests Where Some Data Produced,Legal Process Request Total Accounts,Legal Process Request Total Percentage,Emergency Request Total,ER Number of Requests Where Some Data Produced,Emergency Request Total Accounts,Emergency Request Total Percentage,Search Warrant,Search Warrant Accounts,Search Warrant Percentage,Subpoena,Subpoena Accounts,Subpoena Percentage,Court Order (Other),Court Order (Other) Accounts,Court Order (Other) Percentage,MLAT Search Warrant,MLAT Search Warrant Accounts,MLAT Search Warrant Percentage,MLAT Order,MLAT Order Accounts,MLAT Order Percentage,Court Order (18 USC 2703(d)),Court Order (18 USC 2703(d)) Accounts,Court Order (18 USC 2703(d)) Percentage,Pen Register/Trap and Trace,Pen Register/Trap and Trace Accounts,Pen Register/Trap and Trace Percentage,Title III,Title III Accounts,Title III Percentage,FISA Content Requests,FISA Content Requests Accounts,FISA Content Requests Percentage,FISA Non-Content Requests,FISA Non-Content Requests Accounts,FISA Non-Content Requests Percentage,NSLs,NSLs Accounts,NSLs Percentage
Afghanistan,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aland Islands,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,72,101,31,18,59,58%,30,18,57,60%,1,0,2,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,2,2,2,1,2,50%,1,0,1,0%,1,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,1,4,4,0,4,0%,4,0,4,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anguilla,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antarctica,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua,0,0,1,0,5,0%,0,0,0,0%,1,0,5,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,"6,117","8,483","3,771","2,732","6,500",72%,"3,390","2,477","5,868",73%,381,255,632,67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,112,164,13,11,30,85%,13,11,30,85%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,472,776,"2,100","1,679","2,763",80%,"1,963","1,577","2,555",80%,137,102,208,74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,354,515,443,259,689,58%,424,244,629,58%,19,15,60,79%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,9,26,15,5,126,33%,12,5,109,42%,3,0,17,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,28,33,525,351,876,67%,463,343,784,74%,62,8,92,13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,1,8,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,0,0,3,0,3,0%,3,0,3,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,26,33,"1,002",752,"1,771",75%,970,732,"1,705",75%,32,20,66,63%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,12,13,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,0,0,1,1,1,100%,1,1,1,100%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,0,0,2,0,3,0%,0,0,0,0%,2,0,3,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,10,12,3,1,3,33%,2,0,2,0%,1,1,1,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bonaire, Sint Eustatius and Saba",0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,104,138,86,65,165,76%,79,61,154,77%,7,4,11,57%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,1,1,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bouvet Island,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
